"Title","Description","Project","Status","Estimate","Priority","Labels"
"[E1.S2.T5] Checkpoint: Verify Convex Working","Manually test that Convex is fully wired.

**Test Steps:**
1. Open Convex dashboard
2. Add test user manually
3. Check app shows user count: 1
4. Delete test user

**Acceptance Criteria:**
- [ ] Can add user in dashboard
- [ ] App updates in real-time
- [ ] Can delete user","E1: Infrastructure & Setup","Backlog",1,"Urgent","Blocker, Quick Win"
"[E1.S3.T1] Install Clerk","Install Clerk React SDK and set up environment variables.

**Commands:**
```bash
npm install @clerk/clerk-react
```

**Setup:**
- Create Clerk app at dashboard.clerk.com
- Copy publishable and secret keys
- Add to .env.local

**Acceptance Criteria:**
- [ ] Clerk installed
- [ ] Environment variables set
- [ ] Keys copied from dashboard","E1: Infrastructure & Setup","Backlog",1,"High","Setup"
"[E1.S3.T2] Add ClerkProvider","Wrap app with ClerkProvider.

**Files Modified:** src/main.tsx

**Add ClerkProvider wrapper outside ConvexProvider**

**Acceptance Criteria:**
- [ ] ClerkProvider added
- [ ] No console errors
- [ ] App still loads","E1: Infrastructure & Setup","Backlog",1,"High","Feature"
"[E1.S3.T3] Create Auth Routes","Create sign-in, sign-up, and protected route components.

**Files Created:**
- src/routes/sign-in.tsx
- src/routes/sign-up.tsx
- src/components/layout/ProtectedRoute.tsx

**Acceptance Criteria:**
- [ ] Sign-in page renders
- [ ] Sign-up page renders
- [ ] ProtectedRoute redirects when not signed in","E1: Infrastructure & Setup","Backlog",1,"High","Feature"
"[E1.S3.T4] Create Convex User Sync Function","Create Convex mutation to sync Clerk user to database.

**Files Created/Modified:** convex/users.ts

**Mutations:**
- syncUser (creates or updates user)
- getCurrentUser query

**Acceptance Criteria:**
- [ ] syncUser mutation created
- [ ] getCurrentUser query created
- [ ] No TypeScript errors","E1: Infrastructure & Setup","Backlog",1,"Urgent","Feature, Blocker"
"[E1.S3.T5] Wire Clerk Webhook","Configure Clerk webhook to trigger user sync.

**Files Created:** convex/http.ts

**Setup:**
- Create HTTP action for webhook
- Configure Clerk webhook endpoint
- Subscribe to user.created, user.updated

**Acceptance Criteria:**
- [ ] Webhook configured
- [ ] User created in Convex on sign-up
- [ ] User updated on profile change","E1: Infrastructure & Setup","Backlog",1,"High","Feature"
"[E1.S3.T6] Checkpoint: Test Auth Flow","End-to-end test of authentication and user sync.

**Test Steps:**
1. Clear all users from Convex
2. Sign up with new email
3. Verify user in Convex
4. Sign out
5. Sign in
6. Verify protected routes

**Acceptance Criteria:**
- [ ] Sign-up creates user in Convex
- [ ] Sign-in works
- [ ] Protected routes work
- [ ] User data accurate","E1: Infrastructure & Setup","Backlog",1,"Urgent","Blocker, Quick Win"
"[E1.S4.T1] Install shadcn/ui","Initialize shadcn/ui and configure components.

**Commands:**
```bash
npx shadcn-ui@latest init
```

**Configuration:**
- TypeScript: Yes
- Style: Default
- Base color: Slate
- CSS variables: Yes

**Acceptance Criteria:**
- [ ] shadcn/ui configured
- [ ] components.json created
- [ ] Can add components via CLI","E1: Infrastructure & Setup","Backlog",1,"High","Setup"
"[E1.S4.T2] Add Essential Components","Add frequently-used shadcn/ui components.

**Commands:**
```bash
npx shadcn-ui@latest add button card input select dialog toast dropdown-menu avatar badge
```

**Acceptance Criteria:**
- [ ] All components added
- [ ] No TypeScript errors
- [ ] Can import components","E1: Infrastructure & Setup","Backlog",1,"High","Setup, Parallel"
"[E1.S4.T3] Configure Dark Theme","Ensure dark theme is default and applied globally.

**Files Modified:**
- index.html (add class=""dark"")
- src/index.css (dark theme CSS variables)

**Acceptance Criteria:**
- [ ] Dark theme applied
- [ ] All components use dark colors
- [ ] No white backgrounds","E1: Infrastructure & Setup","Backlog",1,"High","Setup, Parallel"
"[E1.S4.T4] Create App Layout","Create main app layout with sidebar, header, and content.

**Files Created:**
- src/components/layout/AppLayout.tsx
- src/components/layout/Sidebar.tsx
- src/components/layout/Header.tsx

**Components:**
- Sidebar with navigation
- Header with date and UserButton
- AppLayout wrapper

**Acceptance Criteria:**
- [ ] Sidebar shows on left
- [ ] Navigation highlights active page
- [ ] Header shows date and user button
- [ ] Layout responsive","E1: Infrastructure & Setup","Backlog",2,"Urgent","Feature, Blocker"
"[E1.S4.T5] Create Placeholder Pages","Create empty pages for all routes.

**Files Created:**
- src/routes/dashboard.tsx
- src/routes/transactions.tsx
- src/routes/budgets.tsx
- src/routes/goals.tsx
- src/routes/debts.tsx
- src/routes/reports.tsx
- src/routes/settings.tsx

**Acceptance Criteria:**
- [ ] All pages created
- [ ] Pages render with AppLayout
- [ ] No errors when navigating","E1: Infrastructure & Setup","Backlog",1,"High","Parallel"
"[E1.S4.T6] Set Up Routing","Configure React Router 7 with all routes.

**Files Modified:**
- src/App.tsx

**Routes:**
- /sign-in, /sign-up (public)
- /, /transactions, /budgets, etc (protected)

**Acceptance Criteria:**
- [ ] All routes work
- [ ] Protected routes redirect
- [ ] Navigation works
- [ ] Active page highlights","E1: Infrastructure & Setup","Backlog",1,"Urgent","Feature, Blocker"
"[E1.S5.T1] Deploy Convex to Production","Deploy Convex backend to production environment.

**Commands:**
```bash
npx convex deploy
```

**Outputs:** Production Convex URL (save for Netlify)

**Acceptance Criteria:**
- [ ] Convex production deployed
- [ ] Production dashboard accessible
- [ ] URL saved","E1: Infrastructure & Setup","Backlog",1,"High","Setup"
"[E1.S5.T2] Deploy to Netlify","Deploy frontend to Netlify.

**Steps:**
1. Connect GitHub repo
2. Configure build settings
3. Add environment variables
4. Deploy

**Acceptance Criteria:**
- [ ] Site deployed to Netlify
- [ ] Environment variables configured
- [ ] Production URL accessible","E1: Infrastructure & Setup","Backlog",1,"High","Setup"
"[E1.S5.T3] Test Production Deploy","End-to-end test of production deployment.

**Test Steps:**
1. Open production URL
2. Sign up
3. Navigate all pages
4. Sign out/in
5. Verify no errors

**Acceptance Criteria:**
- [ ] Production site loads
- [ ] Auth works
- [ ] User synced to Convex
- [ ] All pages accessible
- [ ] No console errors","E1: Infrastructure & Setup","Backlog",1,"Urgent","Blocker, Quick Win"
